               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.022731,           0.0058735,                   0,             0.83803,                   1,              0.9775,             0.57873,            0.025593,           0.0030155,                   0,           0.0098326,           0.0098326,           0.0098326
                  73,            0.026108,           0.0074828,                   0,             0.92646,                   1,               0.995,             0.73389,            0.024627,           0.0028862,                   0,           0.0098303,           0.0098303,           0.0098303
                  74,            0.028188,           0.0059142,                   0,             0.77661,                   1,              0.9775,             0.72161,             0.02968,           0.0029813,                   0,           0.0098279,           0.0098279,           0.0098279
                  75,            0.030113,           0.0069447,                   0,             0.84925,                   1,              0.9775,              0.7163,            0.022391,           0.0031082,                   0,           0.0098256,           0.0098256,           0.0098256
                  76,            0.030617,           0.0061389,                   0,             0.86175,             0.85714,              0.9775,             0.50616,            0.032617,           0.0032536,                   0,           0.0098232,           0.0098232,           0.0098232
                  77,              0.0262,           0.0078151,                   0,             0.85803,                   1,                0.96,              0.7767,            0.019574,           0.0030083,                   0,           0.0098209,           0.0098209,           0.0098209
                  78,            0.024485,           0.0077032,                   0,             0.76238,                   1,             0.96389,             0.70853,            0.025272,           0.0030058,                   0,           0.0098185,           0.0098185,           0.0098185
                  79,            0.028366,           0.0083582,                   0,             0.79351,             0.85714,               0.913,               0.649,            0.026782,           0.0033604,                   0,           0.0098161,           0.0098161,           0.0098161
                  80,             0.02553,           0.0093741,                   0,             0.84341,                   1,              0.9775,             0.74288,            0.021451,           0.0032851,                   0,           0.0098138,           0.0098138,           0.0098138
                  81,            0.019254,           0.0059503,                   0,             0.84025,                   1,               0.995,             0.68465,            0.023591,           0.0038576,                   0,           0.0098114,           0.0098114,           0.0098114
                  82,            0.023394,           0.0058939,                   0,             0.97276,                   1,               0.995,              0.6973,            0.021593,           0.0034599,                   0,           0.0098091,           0.0098091,           0.0098091
                  83,            0.025338,            0.006324,                   0,             0.86494,              0.9195,              0.9775,             0.68517,            0.026929,           0.0032629,                   0,           0.0098067,           0.0098067,           0.0098067
                  84,            0.022006,           0.0060661,                   0,             0.77285,                   1,             0.90944,             0.66547,            0.024358,           0.0034716,                   0,           0.0098044,           0.0098044,           0.0098044
                  85,            0.021269,           0.0050441,                   0,             0.77155,                   1,             0.93278,             0.66477,            0.028703,           0.0038673,                   0,            0.009802,            0.009802,            0.009802
                  86,            0.025136,           0.0063932,                   0,                   1,             0.84786,             0.96389,             0.69017,            0.022326,           0.0036316,                   0,           0.0097996,           0.0097996,           0.0097996
                  87,            0.024298,           0.0070911,                   0,             0.94017,                   1,               0.995,             0.77367,            0.025691,           0.0032339,                   0,           0.0097973,           0.0097973,           0.0097973
                  88,             0.01995,           0.0049476,                   0,             0.97749,                   1,               0.995,             0.58219,            0.026973,           0.0030357,                   0,           0.0097949,           0.0097949,           0.0097949
                  89,            0.025711,           0.0066338,                   0,             0.93865,                   1,               0.995,             0.71941,            0.024052,           0.0034055,                   0,           0.0097926,           0.0097926,           0.0097926
                  90,            0.024286,           0.0067492,                   0,             0.98144,                   1,               0.995,             0.68356,             0.02451,           0.0034362,                   0,           0.0097902,           0.0097902,           0.0097902
                  91,            0.025946,           0.0062858,                   0,             0.97711,                   1,               0.995,              0.6137,            0.028761,           0.0029317,                   0,           0.0097879,           0.0097879,           0.0097879
                  92,            0.022101,           0.0058414,                   0,              0.9756,                   1,               0.995,             0.66706,            0.022758,           0.0028189,                   0,           0.0097855,           0.0097855,           0.0097855
                  93,            0.022931,           0.0054135,                   0,              0.9806,                   1,               0.995,             0.74442,             0.02006,           0.0030703,                   0,           0.0097831,           0.0097831,           0.0097831
                  94,            0.018709,           0.0053142,                   0,             0.97732,                   1,               0.995,             0.66873,            0.024565,           0.0030824,                   0,           0.0097808,           0.0097808,           0.0097808
                  95,            0.022139,           0.0056436,                   0,             0.97849,                   1,               0.995,             0.72609,            0.024066,           0.0031227,                   0,           0.0097784,           0.0097784,           0.0097784
                  96,            0.023314,           0.0060627,                   0,              0.9573,                   1,               0.995,             0.68855,             0.02569,            0.003574,                   0,           0.0097761,           0.0097761,           0.0097761
                  97,            0.023839,           0.0063684,                   0,             0.89924,                   1,               0.995,             0.68972,            0.022571,           0.0034241,                   0,           0.0097737,           0.0097737,           0.0097737
                  98,            0.023789,           0.0065384,                   0,             0.86109,                   1,             0.87062,             0.58508,            0.022154,           0.0037883,                   0,           0.0097714,           0.0097714,           0.0097714
                  99,            0.021705,           0.0067752,                   0,             0.86067,                   1,             0.87062,             0.53101,            0.026627,            0.003387,                   0,            0.009769,            0.009769,            0.009769
                 100,            0.024133,           0.0055698,                   0,             0.86375,                   1,             0.90625,             0.69893,            0.019194,           0.0031602,                   0,           0.0097666,           0.0097666,           0.0097666
                 101,            0.020501,           0.0058942,                   0,             0.76221,                   1,             0.96389,             0.76219,            0.019293,           0.0032206,                   0,           0.0097643,           0.0097643,           0.0097643
                 102,            0.024521,           0.0068844,                   0,             0.92329,             0.85714,             0.96389,             0.60211,            0.026165,           0.0033229,                   0,           0.0097619,           0.0097619,           0.0097619
                 103,            0.024402,           0.0059972,                   0,             0.97381,             0.85714,             0.96389,             0.58412,            0.025223,           0.0028878,                   0,           0.0097596,           0.0097596,           0.0097596
                 104,            0.017798,           0.0052662,                   0,                   1,             0.99057,               0.995,             0.73307,            0.020795,           0.0026013,                   0,           0.0097572,           0.0097572,           0.0097572
                 105,            0.021809,           0.0062935,                   0,             0.85917,             0.87334,              0.9775,             0.73956,            0.025067,           0.0030498,                   0,           0.0097549,           0.0097549,           0.0097549
                 106,             0.02284,           0.0083054,                   0,             0.97805,                   1,               0.995,             0.76077,            0.018488,           0.0026992,                   0,           0.0097525,           0.0097525,           0.0097525
                 107,            0.019271,            0.005738,                   0,             0.96756,                   1,               0.995,             0.77225,            0.020265,           0.0028201,                   0,           0.0097501,           0.0097501,           0.0097501
                 108,            0.024405,           0.0063043,                   0,             0.87207,             0.97656,              0.9775,             0.63042,            0.031368,           0.0028032,                   0,           0.0097478,           0.0097478,           0.0097478
                 109,            0.019111,           0.0042101,                   0,             0.86323,                   1,                0.96,             0.77749,            0.023072,           0.0028555,                   0,           0.0097454,           0.0097454,           0.0097454
                 110,            0.023015,           0.0062509,                   0,             0.84794,                   1,              0.9775,             0.66025,            0.022751,           0.0031348,                   0,           0.0097431,           0.0097431,           0.0097431
                 111,            0.020669,           0.0056504,                   0,              0.8463,                   1,              0.9425,             0.63513,            0.020347,           0.0030909,                   0,           0.0097407,           0.0097407,           0.0097407
                 112,            0.020639,           0.0057894,                   0,             0.85318,                   1,                0.96,             0.75419,            0.020537,           0.0032416,                   0,           0.0097384,           0.0097384,           0.0097384
                 113,            0.022061,           0.0059429,                   0,             0.82485,                   1,              0.9775,              0.6011,            0.027045,           0.0029494,                   0,            0.009736,            0.009736,            0.009736
                 114,            0.021511,           0.0056506,                   0,             0.84694,             0.85714,             0.94409,             0.77334,            0.018359,           0.0034805,                   0,           0.0097336,           0.0097336,           0.0097336
                 115,            0.022768,           0.0057712,                   0,             0.77124,                   1,             0.94389,             0.70245,            0.023001,           0.0030328,                   0,           0.0097313,           0.0097313,           0.0097313
                 116,            0.019885,           0.0043343,                   0,             0.87369,             0.98953,             0.92375,             0.74349,              0.0199,           0.0029986,                   0,           0.0097289,           0.0097289,           0.0097289
                 117,            0.020904,           0.0066981,                   0,             0.92792,             0.85714,               0.953,              0.6417,             0.02408,           0.0029337,                   0,           0.0097266,           0.0097266,           0.0097266
